model,pathway,scenario,region,variables,unit,2019,2020,2025,2030,2035,2040,2050
image,SSP2-RCP26,N2_ref,FR,Production|Electricity|Renewable|Wind turbines|Offshore,TWh/year,0,0,3.320059183,15.84565449,38.48356919,61.12148389,119.866132
image,SSP2-RCP26,N2_ref,FR,Production|Electricity|Renewable|Photovoltaic,TWh/year,10.34630787,11.04328079,20.39896304,36.42778178,52.19051309,67.95324439,102.2251056
image,SSP2-RCP26,N2_ref,FR,Production|Electricity|Renewable|Biomass,TWh/year,2.319000039,2.208656158,2.632739331,2.239059873,2.349246826,2.459433778,2.506882698
image,SSP2-RCP26,N2_ref,FR,Production|Electricity|Renewable|Biogas,TWh/year,2.319000039,2.562041143,2.465499643,2.239059873,2.349246826,2.459433778,2.506882698
image,SSP2-RCP26,N2_ref,FR,Production|Electricity|Renewable|Wave,TWh/year,0,0,0,0,0,0,0
image,SSP2-RCP26,N2_ref,FR,Production|Electricity|Nuclear|Pressure water reactor,TWh/year,338.0388519,295.0764626,300.9520238,303.9093189,269.8253005,235.7412821,86.44102933
image,SSP2-RCP26,N2_ref,FR,Production|Electricity|Nuclear|Evolutionary power reactor,TWh/year,0,0,0,0,20.31310121,40.62620241,147.9060792
image,SSP2-RCP26,N2_ref,FR,Production|Electricity|Nuclear|Small modular reactor,TWh/year,0,0,0,0,0,0,0
image,SSP2-RCP26,N2_ref,FR,Production|Electricity|Thermal|Coal,TWh/year,1.386610397,1.207298721,0.6034234,0,0,0,0
image,SSP2-RCP26,N2_ref,FR,Production|Electricity|Thermal|Oil|Conventional,TWh/year,1.467153282,0.232440299,0.348579989,0,0,0,0
image,SSP2-RCP26,N2_ref,FR,Production|Electricity|Thermal|Oil|Cogeneration,TWh/year,0.606075566,0.521052467,0.488434329,0,0,0,0
image,SSP2-RCP26,N2_ref,FR,Production|Electricity|Thermal|Natural gas|CCP,TWh/year,22.72263269,19.52452043,6.923350327,15.80087329,9.4334837,3.06609411,0.245117419
image,SSP2-RCP26,N2_ref,FR,Production|Electricity|Thermal|Natural gas|Cogeneration,TWh/year,11.01703403,9.894779586,4.141657901,7.661029473,4.573810279,1.486591084,0.118844809
image,SSP2-RCP26,N2_ref,FR,Production|Electricity|Thermal|Natural gas|Conventional,TWh/year,0.688564627,0.971808709,3.425707648,0.478814342,0.285863143,0.092911943,0.007427801
image,SSP2-RCP26,N2_ref,FR,Production|Electricity|Thermal|Hydrogen,TWh/year,0,0,0,0,0.77426619,1.548532379,1.764102639
image,SSP2-RCP26,N2_ref,FR,Production|Electricity|Flexibilities|Battery,TWh/year,0,0,0,0.172235375,0.086117688,0,0.185695015
image,SSP2-RCP26,N2_ref,FR,Production|Electricity|Conventional|Waste-to-Energy,TWh/year,1.962230802,1.943617419,3.658986366,1.894589123,1.767105821,1.639622519,1.671255132
image,SSP2-RCP26,N2_ref,FR,Production|Electricity|Import,TWh/year,1.6,2.7,0.33844,3,8.61,14.22,28.03
image,SSP2-RCP26,N2_ref,FR,Production|Electricity|Export,TWh/year,57.7,57.7,89.9089705,80.92,67.84,54.76,48.78
image,SSP2-RCP26,N2_ref,FR,Production|Electricity|Total (w/o export correction),TWh/year,533.879078,495.1194395,536.876415,582.9,598.75,614.6,682
image,SSP2-RCP26,N2_ref,FR,Transformation|Electricity|High to medium,TWh/year,475.8168472,438.1758221,443.6468981,503.0854109,537.7528942,572.4203775,659.5787449
image,SSP2-RCP26,N2_ref,FR,Transformation|Electricity|Medium to low,TWh/year,477.779078,440.1194395,447.3058845,504.98,539.52,574.06,661.25
image,SSP2-RCP26,N2_ref,FR,Compensation for losses|Electricity|High,ratio,0.969743434,0.969743434,0.969743434,0.969743434,0.969743434,0.969743434,0.969743434
image,SSP2-RCP26,N2_ref,FR,Compensation for losses|Electricity|Medium,ratio,0.995814607,0.995814607,0.995814607,0.995814607,0.995814607,0.995814607,0.995814607
image,SSP2-RCP26,N2_ref,FR,Compensation for losses|Electricity|Low,ratio,0.970138159,0.970138159,0.970138159,0.970138159,0.970138159,0.970138159,0.970138159
TIAM-UCL,SSP2-RCP45,M23_UB-H2,FR,Production|Electricity|Run-of-river hydro,TWh/year,35.40934675,35.95692224,39.83682768,35.69405908,35.62012222,35.54618536,38.0174135
TIAM-UCL,SSP2-RCP45,M23_UB-H2,FR,Production|Electricity|Reservoir,TWh/year,12.75450022,16.25570932,16.72498608,18.38784862,18.34975994,18.31167125,19.58472817
TIAM-UCL,SSP2-RCP45,M23_UB-H2,FR,Production|Electricity|Pumped storage hydro,TWh/year,4.905577006,4.947389793,5.386869496,2.411295248,6.737226844,11.06315844,14.23976389
TIAM-UCL,SSP2-RCP45,M23_UB-H2,FR,Production|Electricity|Renewable|Wind turbines|Onshore,TWh/year,30.23619282,35.07345978,35.6593363,58.81838051,76.27753204,93.73668356,133.4863028
TIAM-UCL,SSP2-RCP45,M23_UB-H2,FR,Production|Electricity|Renewable|Wind turbines|Offshore,TWh/year,0,0,3.320059183,15.84565449,59.67954135,103.5134282,197.7949139
TIAM-UCL,SSP2-RCP45,M23_UB-H2,FR,Production|Electricity|Renewable|Photovoltaic,TWh/year,10.34630787,11.04328079,20.39896304,36.42778178,62.59516605,88.76255031,140.56025
TIAM-UCL,SSP2-RCP45,M23_UB-H2,FR,Production|Electricity|Renewable|Biomass,TWh/year,2.319000039,2.208656158,2.632739331,2.239059873,2.277302332,2.315544791,2.480475
TIAM-UCL,SSP2-RCP45,M23_UB-H2,FR,Production|Electricity|Renewable|Biogas,TWh/year,2.319000039,2.562041143,2.465499643,2.239059873,2.277302332,2.315544791,2.480475
TIAM-UCL,SSP2-RCP45,M23_UB-H2,FR,Production|Electricity|Renewable|Wave,TWh/year,0,0,0,0,0.600326427,1.200652854,7.992641667
TIAM-UCL,SSP2-RCP45,M23_UB-H2,FR,Production|Electricity|Nuclear|Pressure water reactor,TWh/year,338.0388519,295.0764626,300.9520238,303.9093189,256.0684141,208.2275093,83.69306389
TIAM-UCL,SSP2-RCP45,M23_UB-H2,FR,Production|Electricity|Nuclear|Evolutionary power reactor,TWh/year,0,0,0,0,0,0,0
TIAM-UCL,SSP2-RCP45,M23_UB-H2,FR,Production|Electricity|Nuclear|Small modular reactor,TWh/year,0,0,0,0,0,0,0
TIAM-UCL,SSP2-RCP45,M23_UB-H2,FR,Production|Electricity|Thermal|Coal,TWh/year,1.386610397,1.207298721,0.6034234,0,0,0,0
TIAM-UCL,SSP2-RCP45,M23_UB-H2,FR,Production|Electricity|Thermal|Oil|Conventional,TWh/year,1.467153282,0.232440299,0.348579989,0,0,0,0
TIAM-UCL,SSP2-RCP45,M23_UB-H2,FR,Production|Electricity|Thermal|Oil|Cogeneration,TWh/year,0.606075566,0.521052467,0.488434329,0,0,0,0
TIAM-UCL,SSP2-RCP45,M23_UB-H2,FR,Production|Electricity|Thermal|Natural gas|CCP,TWh/year,22.72263269,19.52452043,6.923350327,15.80087329,9.145685177,2.490497064,0.303169167
TIAM-UCL,SSP2-RCP45,M23_UB-H2,FR,Production|Electricity|Thermal|Natural gas|Cogeneration,TWh/year,11.01703403,9.894779586,4.141657901,7.661029473,4.434271601,1.207513728,0.146991111
TIAM-UCL,SSP2-RCP45,M23_UB-H2,FR,Production|Electricity|Thermal|Natural gas|Conventional,TWh/year,0.688564627,0.971808709,3.425707648,0.478814342,0.277141975,0.075469608,0.009186944
TIAM-UCL,SSP2-RCP45,M23_UB-H2,FR,Production|Electricity|Thermal|Hydrogen,TWh/year,0,0,0,0,0.643206887,1.286413773,8.176380556
TIAM-UCL,SSP2-RCP45,M23_UB-H2,FR,Production|Electricity|Flexibilities|Battery,TWh/year,0,0,0,0.172235375,1.972857887,3.773480399,10.84059444
TIAM-UCL,SSP2-RCP45,M23_UB-H2,FR,Production|Electricity|Conventional|Waste-to-Energy,TWh/year,1.962230802,1.943617419,3.658986366,1.894589123,1.719142825,1.543696527,1.65365
TIAM-UCL,SSP2-RCP45,M23_UB-H2,FR,Production|Electricity|Import,TWh/year,1.6,2.7,0.33844,3,4.98,6.96,41.36
